Richard D.,/user_details?userid=pRfWy61wU9e1nrCVrOEWLA,"New York, NY",2/16/2023,4,No comment,https://www.yelp.com/biz/urbanspace-union-square-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
,,,,,,
Elisa H.,/user_details?userid=ExhcUTTcj_MBhZdFQT9KYg,"Brooklyn, NY",1/6/2023,4,No comment,https://www.yelp.com/biz/urbanspace-union-square-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
,,,,,,
Morlene C.,/user_details?userid=VLTBPUrbNRR-f84h-altQw,"Brooklyn, NY",12/15/2022,3,No comment,https://www.yelp.com/biz/urbanspace-union-square-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
,,,,,,
Ruwan J.,/user_details?userid=xBVo8v0mw64nk6K-pYgI6A,"New York, NY",3/23/2023,4,"Urbanspace  Union Square is a newish addition--adding a small food hall to Union Square.  open from morning to night. the interior is clean, plenty of seating, and well-maintained. there are ~ a dozen eateries...many familiar ones like Bob White Counter, Pita Yeero, and Summer Salt to name a few. most of the spots offer abridged menus versus their complete menus at stand-alone locations. if you need variety of choices, this Urbanspace location  will serve your needs well. i have stopped by here a few times and have been pretty satisfied with the choices and service.",https://www.yelp.com/biz/urbanspace-union-square-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
,,,,,,
Mike C.,/user_details?userid=37cpUoM8hlkSQfReIEBd-Q,"Forest Hills, NY",12/14/2022,5,No comment,https://www.yelp.com/biz/urbanspace-union-square-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
,,,,,,
Brad M.,/user_details?userid=IMD57wrCtAPbvBSAlI2nkA,"Princeton, NJ",1/10/2023,5,Great venue. The various vendors have amazing food and the beer selection at Top Hops is great. With so many choices of food to choose from it's a hard decision.,https://www.yelp.com/biz/urbanspace-union-square-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
,,,,,,
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",1/22/2023,5,"This is a conveniently located food hall near Union Square. It has a good variety of cuisines including sushi, vegan comfort food, and healthy bowls. It's a great place to go with a group as there will be something for everyone. They have a seating area with tables as well as high top seating along the front window.",https://www.yelp.com/biz/urbanspace-union-square-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
,,,,,,
Elizabeth B.,/user_details?userid=N0QyliawoqjPq9NcSkV9vA,"Ramsey, NJ",2/2/2023,4,"This is a really fun spot. There are 13 different restaurants so something for everyone. From pizza, pasta, sushi, coffee, sandwiches, tacos, falafel, playa bowls, salad bowls, vegan, and gluten free! So many options in this spacious food hall. I'd recommend going at a less busy hour so you can really enjoy the full experience. Great place to grab a few things with friends to share!!",https://www.yelp.com/biz/urbanspace-union-square-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
,,,,,,
Sally F.,/user_details?userid=DS2em4ZHVSC9BqP-jTvEkQ,"Princeton, NJ",3/18/2023,5,No comment,https://www.yelp.com/biz/urbanspace-union-square-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
,,,,,,
